AHVAZ;Ahvaz;اهواز;ir
ALBORZ;Alborz;البرز;ir
ARAK;Arak;اراک;ir
ARDABIL;Ardabil;اردبیل;ir
BALKH;Balkh;بلخ;af
BAMYAN;Bamyan;بامیان;af
BANDAR_ABAS;Bandar Abbas;بندرعباس;ir
BIRJAND;Birjand;بیرجند;ir
BOJNURD;Bojnurd;بجنورد;ir
BUSHEHR;Bushehr;بوشهر;ir
ESFEHAN;Esfehan;اصفهان;ir
GHAZNI;Ghazni;غزنی;af
GHAZVIN;Ghazvin;قزوین;ir
GHOM;Qom;قم;ir
GORGAN;Gorgan;گرگان;ir
HAMEDAN;Hamedan;همدان;ir
HELMAND;Helmand;هلمند;af
HERAT;Herat;هرات;af
ILAM;Ilam;ایلام;ir
KABUL;Kabul;کابل;af
KANDAHAR;Kandahar;قندهار;af
KERMAN;Kerman;کرمان;ir
KERMANSHAH;Kermanshah;کرمانشاه;ir
KHORAM_ABAD;Khoram Abad;خرم‌آباد;ir
MASHHAD;Mashhad;مشهد;ir
NANGARHAR;Nangarhar;ننگرهار;af
ORUMIYEH;Orumiyeh;ارومیه;ir
RASHT;Rasht;رشت;ir
SANANDAJ;Sanandaj;سنندج;ir
SARI;Sari;ساری;ir
SEMNAN;Semnan;سمنان;ir
SHAHREKORD;Shahr-e-kord;شهرکرد;ir
SHIRAZ;Shiraz;شیراز;ir
TABRIZ;Tabriz;تبریز;ir
TEHRAN;Tehran;تهران;ir
YASUJ;Yasuj;یاسوج;ir
YAZD;Yazd;یزد;ir
ZAHEDAN;Zahedan;زاهدان;ir
ZANJAN;Zanjan;زنجان;ir
